female,married,spouse_rated,age,X_factor_bi,X_factor_pd,X_factor_comp,X_factor_coll,X_factor_loan,X_factor_med,X_factor_pip,X_factor_umbi,X_factor_umpd,X_factor_rent,X_factor_roadside,duplicate
0,0,0,55,1.06,0.97,0.83,0.93,0.83,0.82,0.9,1,0.93,0.93,0.93,0
0,0,1,55,1.06,0.97,0.83,0.93,0.83,0.82,0.9,1,0.93,0.93,0.93,0
0,0,0,60,1.08,1,0.82,0.94,0.82,0.81,0.93,1,0.94,0.94,0.94,0
0,0,1,60,1.08,1,0.82,0.94,0.82,0.81,0.93,1,0.94,0.94,0.94,0
0,0,0,61,1.11,1.02,0.8,0.95,0.8,0.8,0.96,1,0.95,0.95,0.95,0
0,0,1,61,1.11,1.02,0.8,0.95,0.8,0.8,0.96,1,0.95,0.95,0.95,0
0,0,0,62,1.14,1.05,0.78,0.96,0.78,0.79,0.99,1,0.96,0.96,0.96,0
0,0,1,62,1.14,1.05,0.78,0.96,0.78,0.79,0.99,1,0.96,0.96,0.96,0
0,0,0,63,1.16,1.07,0.76,0.97,0.76,0.78,1.02,1,0.97,0.97,0.97,0
0,0,1,63,1.16,1.07,0.76,0.97,0.76,0.78,1.02,1,0.97,0.97,0.97,0
0,0,0,64,1.19,1.09,0.76,0.97,0.76,0.77,1.05,1,0.97,0.97,0.97,0
0,0,1,64,1.19,1.09,0.76,0.97,0.76,0.77,1.05,1,0.97,0.97,0.97,0
0,0,0,65,1.17,1.13,0.76,1,0.76,0.81,1.04,1.02,1,1,1,0
0,0,1,65,1.17,1.13,0.76,1,0.76,0.81,1.04,1.02,1,1,1,0
0,0,0,66,1.21,1.16,0.76,1.02,0.76,0.84,1.03,1.03,1.02,1.02,1.02,0
0,0,1,66,1.21,1.16,0.76,1.02,0.76,0.84,1.03,1.03,1.02,1.02,1.02,0
0,0,0,67,1.25,1.2,0.75,1.05,0.75,0.88,1.01,1.05,1.05,1.05,1.05,0
0,0,1,67,1.25,1.2,0.75,1.05,0.75,0.88,1.01,1.05,1.05,1.05,1.05,0
0,0,0,68,1.29,1.23,0.75,1.08,0.75,0.93,1,1.06,1.08,1.08,1.08,0
0,0,1,68,1.29,1.23,0.75,1.08,0.75,0.93,1,1.06,1.08,1.08,1.08,0
0,0,0,69,1.34,1.27,0.74,1.1,0.74,0.97,0.99,1.08,1.1,1.1,1.1,0
0,0,1,69,1.34,1.27,0.74,1.1,0.74,0.97,0.99,1.08,1.1,1.1,1.1,0
